skin_type,oiliness_level,dryness_level,sensitivity_level,acne_severity,dark_spots_level,redness_level,age,label
dry,0,9,10,3,2,4,34,Dry & Sensitive
oily,8,0,0,7,1,5,25,Oily & Acne
balanced,5,6,5,3,7,3,19,Pigmentation-Prone
acne,9,0,3,8,1,7,29,Acne-Prone
acne,7,2,2,7,2,6,20,Oily & Acne
acne,10,3,4,6,1,5,18,Oily & Acne
sensitive,1,7,8,4,1,6,31,Dry & Sensitive
balanced,3,4,3,1,0,4,45,Balanced
sensitive,1,7,10,0,0,5,25,Dry & Sensitive
sensitive,5,6,5,3,0,1,47,Balanced
oily,8,0,0,7,0,4,42,Acne-Prone
dry,3,3,6,3,8,5,25,Pigmentation-Prone
sensitive,3,8,7,2,0,5,29,Dry & Sensitive
oily,7,1,4,9,3,4,46,Acne-Prone
balanced,5,6,4,1,8,2,34,Pigmentation-Prone
balanced,2,3,4,2,10,3,29,Pigmentation-Prone
sensitive,0,8,7,2,2,6,38,Dry & Sensitive
sensitive,2,10,7,2,1,5,19,Dry & Sensitive
dry,3,3,6,3,1,4,27,Balanced
oily,7,0,0,9,3,6,24,Acne-Prone
dry,3,4,3,3,9,5,29,Pigmentation-Prone
oily,7,3,0,7,1,6,38,Acne-Prone
dry,4,4,5,2,1,3,37,Balanced
sensitive,2,7,9,0,2,7,39,Dry & Sensitive
acne,8,3,4,10,2,7,32,Acne-Prone
oily,9,0,4,7,2,4,19,Oily & Acne
oily,5,3,3,0,2,0,17,Balanced
dry,5,6,4,3,7,4,46,Pigmentation-Prone
acne,9,0,2,6,0,4,19,Oily & Acne
balanced,4,5,5,0,9,2,39,Pigmentation-Prone
acne,10,3,2,7,4,5,34,Oily & Acne
dry,3,3,4,3,4,2,27,Balanced
oily,9,0,1,9,3,4,16,Oily & Acne
dry,2,9,9,4,5,3,22,Dry & Sensitive
oily,8,2,2,7,0,3,32,Acne-Prone
balanced,2,5,6,0,10,4,32,Pigmentation-Prone
balanced,6,6,3,0,0,3,29,Balanced
balanced,4,5,6,3,10,4,16,Pigmentation-Prone
dry,3,3,5,2,4,3,22,Balanced
balanced,4,5,6,1,2,3,46,Balanced
acne,9,0,3,6,1,5,18,Oily & Acne
oily,7,3,1,7,3,6,29,Oily & Acne
sensitive,1,7,10,2,1,4,30,Dry & Sensitive
balanced,3,4,3,1,7,5,28,Pigmentation-Prone
oily,8,0,0,9,1,4,31,Acne-Prone
sensitive,0,7,10,4,0,7,24,Dry & Sensitive
dry,3,9,9,4,1,3,20,Dry & Sensitive
dry,3,9,8,3,3,5,49,Dry & Sensitive
oily,8,3,4,9,1,6,30,Oily & Acne
acne,10,2,2,7,2,5,27,Oily & Acne
oily,9,3,4,9,3,4,37,Oily & Acne
oily,7,2,4,10,3,3,41,Oily & Acne
acne,10,0,3,8,3,5,46,Acne-Prone
sensitive,3,10,8,3,0,6,34,Dry & Sensitive
acne,7,2,2,9,2,6,18,Acne-Prone
dry,3,5,5,1,2,2,23,Balanced
balanced,4,5,6,2,8,5,40,Pigmentation-Prone
balanced,2,6,5,0,9,2,32,Pigmentation-Prone
oily,10,2,3,9,0,4,32,Oily & Acne
dry,1,7,9,3,1,6,17,Dry & Sensitive
dry,3,8,9,0,5,3,44,Dry & Sensitive
acne,10,0,0,8,1,5,38,Acne-Prone
sensitive,1,9,7,1,4,7,24,Dry & Sensitive
oily,4,3,6,0,3,4,26,Balanced
acne,9,2,1,7,3,5,20,Oily & Acne
oily,10,1,2,8,3,3,23,Acne-Prone
dry,1,8,7,1,2,5,28,Dry & Sensitive
sensitive,3,10,7,3,3,4,20,Dry & Sensitive
dry,3,6,3,2,8,4,46,Pigmentation-Prone
balanced,2,5,5,2,8,2,41,Pigmentation-Prone
dry,0,9,7,1,1,5,22,Dry & Sensitive
sensitive,3,8,8,0,3,4,44,Dry & Sensitive
sensitive,1,10,8,2,1,4,20,Dry & Sensitive
oily,6,5,5,1,0,3,20,Balanced
balanced,5,6,5,3,10,2,49,Pigmentation-Prone
dry,3,9,10,3,4,7,33,Dry & Sensitive
acne,8,3,4,7,3,5,35,Oily & Acne
dry,1,8,10,0,0,5,37,Dry & Sensitive
balanced,4,5,5,3,10,5,19,Pigmentation-Prone
oily,6,4,4,2,1,0,17,Balanced
dry,0,7,10,2,2,6,44,Dry & Sensitive
oily,10,0,0,8,0,7,49,Acne-Prone
dry,4,4,3,3,10,3,39,Pigmentation-Prone
sensitive,3,6,4,3,3,1,26,Balanced
balanced,4,3,6,3,9,2,29,Pigmentation-Prone
oily,10,1,2,10,3,4,36,Oily & Acne
oily,8,0,2,7,2,4,30,Acne-Prone
acne,8,0,3,9,3,6,35,Oily & Acne
oily,10,2,1,8,0,4,23,Oily & Acne
oily,9,3,0,7,1,6,47,Oily & Acne
dry,2,4,4,3,7,3,49,Pigmentation-Prone
oily,9,3,0,6,0,5,34,Oily & Acne
dry,3,10,10,0,0,3,27,Dry & Sensitive
acne,8,3,0,6,0,6,26,Oily & Acne
oily,9,1,1,10,3,4,39,Oily & Acne
acne,10,1,1,8,4,6,26,Acne-Prone
balanced,3,6,5,3,1,1,23,Balanced
oily,7,3,3,10,1,5,21,Acne-Prone
oily,5,3,4,2,3,4,35,Balanced
oily,7,2,0,8,4,4,46,Oily & Acne
balanced,4,3,6,2,0,1,45,Balanced
oily,9,0,4,9,0,4,25,Oily & Acne
dry,2,4,6,2,7,5,23,Pigmentation-Prone
dry,1,8,8,3,1,5,33,Dry & Sensitive
sensitive,6,4,3,1,4,3,18,Balanced
acne,10,0,0,8,0,3,41,Oily & Acne
oily,9,0,2,9,4,5,38,Acne-Prone
sensitive,2,10,7,0,1,5,40,Dry & Sensitive
acne,7,0,3,9,1,4,44,Acne-Prone
oily,9,1,4,6,4,3,50,Oily & Acne
dry,2,9,10,0,1,5,19,Dry & Sensitive
oily,10,1,3,9,1,3,43,Acne-Prone
balanced,2,6,4,3,9,3,20,Pigmentation-Prone
balanced,2,4,5,0,9,2,19,Pigmentation-Prone
acne,7,3,1,9,1,5,18,Oily & Acne
sensitive,2,8,7,4,1,5,43,Dry & Sensitive
balanced,2,5,4,3,10,5,28,Pigmentation-Prone
dry,5,3,3,2,8,3,33,Pigmentation-Prone
acne,8,3,3,6,0,4,21,Oily & Acne
dry,1,8,8,0,2,4,46,Dry & Sensitive
oily,9,3,4,7,2,7,26,Acne-Prone
dry,3,3,5,1,8,4,44,Pigmentation-Prone
dry,3,6,6,2,10,4,22,Pigmentation-Prone
oily,9,1,3,7,2,3,42,Oily & Acne
balanced,3,3,4,3,7,4,50,Pigmentation-Prone
oily,10,2,2,10,2,3,35,Acne-Prone
sensitive,2,9,8,1,5,7,23,Dry & Sensitive
acne,10,0,3,8,3,6,27,Acne-Prone
acne,10,3,3,10,0,6,26,Acne-Prone
oily,7,2,4,10,0,4,29,Acne-Prone
dry,3,5,6,0,4,4,34,Balanced
dry,1,9,8,4,1,5,43,Dry & Sensitive
sensitive,3,8,8,1,1,6,27,Dry & Sensitive
sensitive,1,7,9,0,5,5,33,Dry & Sensitive
oily,9,2,2,10,4,4,23,Acne-Prone
oily,9,3,2,10,0,4,43,Acne-Prone
acne,10,2,4,7,1,6,33,Acne-Prone
oily,9,3,2,10,0,3,41,Oily & Acne
oily,5,4,6,1,0,0,17,Balanced
oily,9,2,0,10,0,4,37,Oily & Acne
oily,4,3,4,1,1,0,40,Balanced
dry,5,4,3,0,2,4,30,Balanced
acne,9,0,1,9,3,5,17,Oily & Acne
oily,10,2,4,7,4,7,47,Acne-Prone
oily,8,1,4,6,1,4,33,Oily & Acne
sensitive,1,9,8,3,3,6,48,Dry & Sensitive
balanced,2,4,5,2,7,4,34,Pigmentation-Prone
dry,1,9,9,1,2,4,29,Dry & Sensitive
sensitive,5,6,5,0,1,4,39,Balanced
oily,3,6,5,0,1,2,26,Balanced
acne,9,3,2,8,0,4,28,Acne-Prone
dry,4,4,6,1,10,2,40,Pigmentation-Prone
balanced,5,4,3,2,4,1,32,Balanced
balanced,5,6,6,0,8,3,26,Pigmentation-Prone
dry,0,10,8,3,0,6,48,Dry & Sensitive
sensitive,1,9,9,3,3,3,46,Dry & Sensitive
dry,1,8,8,3,0,5,17,Dry & Sensitive
sensitive,3,9,8,1,0,7,29,Dry & Sensitive
sensitive,5,3,6,2,2,1,40,Balanced
acne,10,2,3,10,4,4,22,Acne-Prone
balanced,3,4,6,3,8,3,33,Pigmentation-Prone
sensitive,0,8,8,3,1,5,27,Dry & Sensitive
dry,3,6,6,3,3,2,18,Balanced
balanced,5,3,5,1,9,4,49,Pigmentation-Prone
sensitive,3,5,3,3,0,2,35,Balanced
dry,0,8,10,3,4,5,21,Dry & Sensitive
sensitive,2,8,8,1,2,6,47,Dry & Sensitive
acne,10,1,0,9,0,5,26,Acne-Prone
oily,9,2,1,7,2,6,44,Acne-Prone
dry,2,7,7,2,1,4,40,Dry & Sensitive
acne,9,2,0,8,0,7,40,Acne-Prone
sensitive,3,6,6,2,0,4,31,Balanced
acne,10,2,3,9,3,6,38,Acne-Prone
dry,0,9,10,0,0,5,20,Dry & Sensitive
dry,3,9,7,2,5,4,46,Dry & Sensitive
acne,8,2,4,7,3,4,18,Oily & Acne
dry,0,10,8,3,5,5,48,Dry & Sensitive
dry,3,7,7,2,3,7,26,Dry & Sensitive
balanced,3,6,3,0,0,2,28,Balanced
oily,10,1,0,10,1,7,28,Acne-Prone
oily,6,6,4,1,2,3,26,Balanced
acne,10,0,4,6,2,4,24,Oily & Acne
oily,5,4,3,3,3,0,18,Balanced
dry,2,7,8,3,5,4,20,Dry & Sensitive
sensitive,3,10,10,2,3,5,34,Dry & Sensitive
dry,2,8,8,2,2,3,25,Dry & Sensitive
dry,1,10,7,1,3,5,23,Dry & Sensitive
oily,10,0,1,8,4,5,48,Acne-Prone
oily,8,1,3,7,4,5,45,Oily & Acne
acne,7,2,3,6,3,3,40,Oily & Acne
acne,9,3,2,10,1,3,20,Oily & Acne
sensitive,6,5,3,1,4,4,20,Balanced
oily,10,2,2,6,2,6,18,Oily & Acne
oily,8,2,2,7,3,4,42,Oily & Acne
dry,3,7,9,4,5,7,21,Dry & Sensitive
dry,1,9,7,3,0,7,32,Dry & Sensitive
oily,8,2,1,9,0,6,37,Acne-Prone
balanced,5,4,3,0,8,2,46,Pigmentation-Prone
sensitive,1,9,10,1,5,3,41,Dry & Sensitive
sensitive,3,7,8,3,3,5,17,Dry & Sensitive
dry,5,6,6,1,7,3,25,Pigmentation-Prone
dry,1,9,9,1,0,7,48,Dry & Sensitive
oily,7,2,4,9,0,7,50,Acne-Prone
dry,3,8,7,0,2,6,27,Dry & Sensitive
oily,8,3,3,6,4,5,41,Oily & Acne
dry,5,3,3,2,10,5,21,Pigmentation-Prone
acne,7,0,0,8,2,3,17,Oily & Acne
acne,8,2,2,9,2,3,26,Acne-Prone
dry,4,5,5,2,0,1,33,Balanced
acne,10,2,4,10,3,6,46,Oily & Acne
acne,10,2,0,6,3,3,46,Oily & Acne
acne,8,1,2,7,4,3,19,Acne-Prone
sensitive,3,7,10,1,5,6,30,Dry & Sensitive
balanced,5,6,4,2,8,3,39,Pigmentation-Prone
acne,10,2,0,6,2,5,39,Oily & Acne
acne,9,3,1,8,4,6,26,Oily & Acne
dry,5,5,4,3,7,3,50,Pigmentation-Prone
oily,8,1,2,9,1,5,38,Acne-Prone
dry,3,4,6,3,7,2,32,Pigmentation-Prone
balanced,4,6,3,1,8,4,30,Pigmentation-Prone
sensitive,6,4,5,0,0,2,45,Balanced
oily,8,3,1,9,2,5,47,Oily & Acne
dry,3,9,7,0,2,6,16,Dry & Sensitive
balanced,2,3,3,2,7,4,28,Pigmentation-Prone
dry,1,8,8,0,3,5,17,Dry & Sensitive
sensitive,4,6,6,3,0,0,37,Balanced
oily,7,0,2,7,3,6,29,Acne-Prone
acne,9,3,4,8,3,7,23,Acne-Prone
sensitive,6,4,4,2,0,4,23,Balanced
sensitive,0,8,8,2,4,7,38,Dry & Sensitive
oily,10,0,1,10,3,5,41,Acne-Prone
acne,8,3,0,6,0,6,36,Oily & Acne
balanced,4,3,3,1,4,1,28,Balanced
oily,10,1,1,9,2,6,30,Acne-Prone
oily,3,4,4,3,0,3,48,Balanced
dry,4,5,3,2,10,2,41,Pigmentation-Prone
sensitive,2,10,10,4,3,7,17,Dry & Sensitive
sensitive,0,7,7,2,4,7,27,Dry & Sensitive
sensitive,3,8,10,4,5,7,31,Dry & Sensitive
balanced,5,3,4,0,10,2,32,Pigmentation-Prone
dry,4,3,6,2,4,1,36,Balanced
oily,8,3,0,6,2,6,41,Oily & Acne
acne,9,0,1,9,4,7,40,Acne-Prone
oily,3,5,4,0,0,2,33,Balanced
balanced,4,6,3,2,9,5,18,Pigmentation-Prone
dry,3,3,3,2,4,0,36,Balanced
balanced,4,4,3,2,9,3,26,Pigmentation-Prone
acne,9,1,1,7,3,7,30,Acne-Prone
dry,2,8,9,1,4,6,28,Dry & Sensitive
dry,5,3,4,1,8,3,37,Pigmentation-Prone
balanced,3,3,3,2,2,4,40,Balanced
sensitive,2,7,10,2,3,4,44,Dry & Sensitive
sensitive,1,7,9,3,3,3,17,Dry & Sensitive
acne,7,1,1,9,1,4,50,Acne-Prone
dry,4,3,5,1,2,2,24,Balanced
oily,9,0,0,6,0,5,31,Oily & Acne
balanced,3,5,3,2,1,2,36,Balanced
sensitive,2,10,9,4,5,5,47,Dry & Sensitive
dry,3,7,7,1,5,7,33,Dry & Sensitive
acne,8,3,4,10,2,4,18,Acne-Prone
sensitive,2,10,8,3,2,7,36,Dry & Sensitive
acne,9,3,1,8,4,6,32,Oily & Acne
dry,3,6,3,3,9,5,21,Pigmentation-Prone
dry,5,3,6,3,8,2,37,Pigmentation-Prone
sensitive,6,5,5,0,0,1,16,Balanced
oily,10,3,4,7,4,6,33,Acne-Prone
acne,9,1,4,9,3,3,50,Acne-Prone
dry,2,7,10,4,2,7,38,Dry & Sensitive
oily,10,2,1,10,1,5,40,Oily & Acne
sensitive,2,10,10,3,0,5,37,Dry & Sensitive
sensitive,6,3,5,0,4,3,20,Balanced
sensitive,4,5,3,2,4,1,39,Balanced
acne,9,1,1,7,0,3,43,Acne-Prone
oily,6,5,6,1,3,2,16,Balanced
dry,6,5,5,2,4,3,50,Balanced
acne,9,2,2,7,0,5,35,Acne-Prone
sensitive,6,5,5,2,1,4,30,Balanced
oily,9,0,0,10,4,6,48,Acne-Prone
balanced,4,4,6,2,9,4,28,Pigmentation-Prone
dry,2,10,9,2,0,3,18,Dry & Sensitive
dry,2,4,6,3,10,4,30,Pigmentation-Prone
acne,7,0,3,10,0,4,24,Oily & Acne
balanced,6,6,3,0,2,4,47,Balanced
dry,2,10,7,0,3,5,40,Dry & Sensitive
balanced,4,3,6,3,10,2,42,Pigmentation-Prone
balanced,4,5,6,2,7,2,41,Pigmentation-Prone
oily,8,2,0,9,3,6,29,Acne-Prone
dry,3,3,5,0,10,3,31,Pigmentation-Prone
dry,2,3,4,3,9,3,28,Pigmentation-Prone
dry,6,5,4,1,2,0,30,Balanced
dry,3,5,5,1,8,2,19,Pigmentation-Prone
dry,4,6,4,1,8,4,28,Pigmentation-Prone
acne,8,0,1,6,0,3,38,Oily & Acne
balanced,4,6,6,3,7,5,31,Pigmentation-Prone
acne,10,0,1,7,1,7,31,Acne-Prone
oily,8,3,3,8,1,6,49,Oily & Acne
acne,10,1,3,9,2,6,23,Acne-Prone
oily,10,0,2,10,2,5,37,Acne-Prone
dry,5,3,4,3,0,4,30,Balanced
oily,9,1,2,7,3,3,25,Oily & Acne
acne,7,0,2,10,1,6,39,Oily & Acne
dry,5,5,3,3,10,2,43,Pigmentation-Prone
dry,2,5,5,0,10,4,43,Pigmentation-Prone
dry,0,10,9,1,4,4,37,Dry & Sensitive
acne,7,3,2,6,4,5,28,Oily & Acne
acne,8,0,4,10,2,5,48,Oily & Acne
oily,7,3,4,7,2,3,37,Oily & Acne
balanced,5,4,4,0,7,2,44,Pigmentation-Prone
acne,10,0,3,7,0,5,43,Acne-Prone
oily,5,5,4,1,3,1,20,Balanced
acne,10,2,0,7,3,4,30,Oily & Acne
sensitive,0,8,10,2,2,7,17,Dry & Sensitive
balanced,3,6,5,0,10,3,26,Pigmentation-Prone
oily,7,1,2,9,3,4,48,Oily & Acne
oily,7,1,3,7,0,4,17,Acne-Prone
oily,6,5,3,2,1,4,46,Balanced
dry,3,5,5,1,10,2,33,Pigmentation-Prone
oily,9,2,3,8,3,3,24,Oily & Acne
sensitive,4,4,6,3,1,2,33,Balanced
balanced,3,3,6,3,9,4,35,Pigmentation-Prone
dry,2,3,4,1,7,2,48,Pigmentation-Prone
oily,10,3,2,8,0,3,30,Oily & Acne
dry,5,5,5,2,9,5,43,Pigmentation-Prone
dry,2,6,4,2,9,4,30,Pigmentation-Prone
acne,8,3,3,9,0,3,26,Oily & Acne
acne,10,1,3,10,4,6,16,Oily & Acne
dry,2,10,8,3,0,7,37,Dry & Sensitive
balanced,5,4,5,3,7,5,33,Pigmentation-Prone
dry,3,6,4,1,0,0,50,Balanced
dry,5,4,6,3,9,2,49,Pigmentation-Prone
acne,9,0,4,6,0,3,23,Oily & Acne
oily,9,0,2,6,3,3,29,Oily & Acne
acne,8,1,2,6,3,5,48,Oily & Acne
sensitive,0,7,10,1,5,3,27,Dry & Sensitive
dry,1,9,9,0,0,6,18,Dry & Sensitive
oily,9,0,0,8,0,7,44,Acne-Prone
acne,7,1,2,9,1,7,22,Acne-Prone
oily,10,1,2,7,1,3,34,Acne-Prone
acne,9,3,3,8,2,6,19,Acne-Prone
oily,10,3,4,10,4,7,31,Acne-Prone
oily,6,6,4,1,0,4,44,Balanced
balanced,5,4,3,3,7,4,46,Pigmentation-Prone
acne,8,2,3,7,0,5,41,Oily & Acne
balanced,3,5,4,3,1,4,30,Balanced
sensitive,0,8,8,1,5,4,47,Dry & Sensitive
oily,10,0,3,6,3,6,26,Oily & Acne
